ID,Product Name,Serial Number,Category,Price ($),Stock Quantity,Unique Key
81,Laptop,DMQB,Electronics,1200,10,Key_81
82,Smartphone,81DE,Electronics,800,15,Key_82
83,Tablet,82EF,Electronics,600,20,Key_83
84,Monitor,83FG,Electronics,300,25,Key_84
85,Keyboard,84GH,Accessories,100,30,Key_85
86,Laptop,85HI,Electronics,1200,10,Key_86
87,Smartphone,86IJ,Electronics,800,15,Key_87
88,Tablet,87JK,Electronics,600,20,Key_88
89,Monitor,88KL,Electronics,300,25,Key_89
90,Keyboard,89LM,Accessories,100,30,Key_90
91,Laptop,4475,Electronics,1200,10,Key_91
92,Smartphone,91NO,Electronics,800,15,Key_92
93,Tablet,92OP,Electronics,600,20,Key_93
94,Monitor,93PQ,Electronics,300,25,Key_94
95,Keyboard,94QR,Accessories,100,30,Key_95
96,Laptop,95RS,Electronics,1200,10,Key_96
97,Smartphone,96ST,Electronics,800,15,Key_97
98,Tablet,97TU,Electronics,600,20,Key_98
99,Monitor,98UV,Electronics,300,25,Key_99
100,Keyboard,99VW,Accessories,100,30,Key_100
101,Laptop,,Electronics,1200,10,Key_101
102,Smartphone,01XY,Electronics,800,15,Key_102
103,Tablet,02YZ,Electronics,600,20,Key_103
104,Monitor,03ZA,Electronics,300,25,Key_104
105,Keyboard,04AB,Accessories,100,30,Key_105
106,Laptop,05BC,Electronics,1200,10,Key_106
107,Smartphone,06CD,Electronics,800,15,Key_107
108,Tablet,07DE,Electronics,600,20,Key_108
109,Monitor,08EF,Electronics,300,25,Key_109
110,Keyboard,09FG,Accessories,100,30,Key_110
111,Laptop,110G1,Electronics,1200,10,Key_111
112,Smartphone,11HI,Electronics,800,15,Key_112
113,Tablet,12IJ,Electronics,600,20,Key_113
114,Monitor,13JK,Electronics,300,25,Key_114
115,Keyboard,14KL,Accessories,100,30,Key_115
116,Laptop,15LM,Electronics,1200,10,Key_116
117,Smartphone,16MN,Electronics,800,15,Key_117
118,Tablet,17NO,Electronics,600,20,Key_118
119,Monitor,18OP,Electronics,300,25,Key_119
120,Keyboard,19PQ,Accessories,100,30,Key_120
121,Laptop,HRCV,Electronics,1200,10,Key_121
122,Smartphone,21RS,Electronics,800,15,Key_122
123,Tablet,22ST,Electronics,600,20,Key_123
124,Monitor,23TU,Electronics,300,25,Key_124
125,Keyboard,24UV,Accessories,100,30,Key_125
126,Laptop,25VW,Electronics,1200,10,Key_126
127,Smartphone,26WX,Electronics,800,15,Key_127
128,Tablet,27XY,Electronics,600,20,Key_128
129,Monitor,28YZ,Electronics,300,25,Key_129
130,Keyboard,29ZA,Accessories,100,30,Key_130
131,Laptop,9255,Electronics,1200,10,Key_131
132,Smartphone,31BC,Electronics,800,15,Key_132
133,Tablet,32CD,Electronics,600,20,Key_133
134,Monitor,33DE,Electronics,300,25,Key_134
135,Keyboard,34EF,Accessories,100,30,Key_135
136,Laptop,35FG,Electronics,1200,10,Key_136
137,Smartphone,36GH,Electronics,800,15,Key_137
138,Tablet,37HI,Electronics,600,20,Key_138
139,Monitor,38IJ,Electronics,300,25,Key_139
140,Keyboard,39JK,Accessories,100,30,Key_140
141,Laptop,,Electronics,1200,10,Key_141
142,Smartphone,41LM,Electronics,800,15,Key_142
143,Tablet,42MN,Electronics,600,20,Key_143
144,Monitor,43NO,Electronics,300,25,Key_144
145,Keyboard,44OP,Accessories,100,30,Key_145
146,Laptop,45PQ,Electronics,1200,10,Key_146
147,Smartphone,46QR,Electronics,800,15,Key_147
148,Tablet,47RS,Electronics,600,20,Key_148
149,Monitor,48ST,Electronics,300,25,Key_149
150,Keyboard,49TU,Accessories,100,30,Key_150
151,Laptop,150U1,Electronics,1200,10,Key_151
152,Smartphone,51VW,Electronics,800,15,Key_152
153,Tablet,52WX,Electronics,600,20,Key_153
154,Monitor,53XY,Electronics,300,25,Key_154
155,Keyboard,54YZ,Accessories,100,30,Key_155
156,Laptop,55ZA,Electronics,1200,10,Key_156
157,Smartphone,56AB,Electronics,800,15,Key_157
158,Tablet,57BC,Electronics,600,20,Key_158
159,Monitor,58CD,Electronics,300,25,Key_159
160,Keyboard,59DE,Accessories,100,30,Key_160
161,Laptop,BWLB,Electronics,1200,10,Key_161
162,Smartphone,61FG,Electronics,800,15,Key_162
163,Tablet,62GH,Electronics,600,20,Key_163
164,Monitor,63HI,Electronics,300,25,Key_164
165,Keyboard,64IJ,Accessories,100,30,Key_165
166,Laptop,65JK,Electronics,1200,10,Key_166
167,Smartphone,66KL,Electronics,800,15,Key_167
168,Tablet,67LM,Electronics,600,20,Key_168
169,Monitor,68MN,Electronics,300,25,Key_169
170,Keyboard,69NO,Accessories,100,30,Key_170
171,Laptop,5021,Electronics,1200,10,Key_171
172,Smartphone,71PQ,Electronics,800,15,Key_172
173,Tablet,72QR,Electronics,600,20,Key_173
174,Monitor,73RS,Electronics,300,25,Key_174
175,Keyboard,74ST,Accessories,100,30,Key_175
176,Laptop,75TU,Electronics,1200,10,Key_176
177,Smartphone,76UV,Electronics,800,15,Key_177
178,Tablet,77VW,Electronics,600,20,Key_178
179,Monitor,78WX,Electronics,300,25,Key_179
180,Keyboard,79XY,Accessories,100,30,Key_180
181,Laptop,,Electronics,1200,10,Key_181
182,Smartphone,81ZA,Electronics,800,15,Key_182
183,Tablet,82AB,Electronics,600,20,Key_183
184,Monitor,83BC,Electronics,300,25,Key_184
185,Keyboard,84CD,Accessories,100,30,Key_185
186,Laptop,85DE,Electronics,1200,10,Key_186
187,Smartphone,86EF,Electronics,800,15,Key_187
188,Tablet,87FG,Electronics,600,20,Key_188
189,Monitor,88GH,Electronics,300,25,Key_189
190,Keyboard,89HI,Accessories,100,30,Key_190
191,Laptop,190I1,Electronics,1200,10,Key_191
192,Smartphone,91JK,Electronics,800,15,Key_192
193,Tablet,92KL,Electronics,600,20,Key_193
194,Monitor,93LM,Electronics,300,25,Key_194
195,Keyboard,94MN,Accessories,100,30,Key_195
196,Laptop,95NO,Electronics,1200,10,Key_196
197,Smartphone,96OP,Electronics,800,15,Key_197
198,Tablet,97PQ,Electronics,600,20,Key_198
199,Monitor,98QR,Electronics,300,25,Key_199
200,Keyboard,99RS,Accessories,100,30,Key_200
201,Laptop,WTHV,Electronics,1200,10,Key_201
202,Smartphone,01TU,Electronics,800,15,Key_202
203,Tablet,02UV,Electronics,600,20,Key_203
204,Monitor,03VW,Electronics,300,25,Key_204
205,Keyboard,04WX,Accessories,100,30,Key_205
206,Laptop,05XY,Electronics,1200,10,Key_206
207,Smartphone,06YZ,Electronics,800,15,Key_207
208,Tablet,07ZA,Electronics,600,20,Key_208
209,Monitor,08AB,Electronics,300,25,Key_209
210,Keyboard,09BC,Accessories,100,30,Key_210
211,Laptop,9348,Electronics,1200,10,Key_211
212,Smartphone,11DE,Electronics,800,15,Key_212
213,Tablet,12EF,Electronics,600,20,Key_213
214,Monitor,13FG,Electronics,300,25,Key_214
215,Keyboard,14GH,Accessories,100,30,Key_215
216,Laptop,15HI,Electronics,1200,10,Key_216
217,Smartphone,16IJ,Electronics,800,15,Key_217
218,Tablet,17JK,Electronics,600,20,Key_218
219,Monitor,18KL,Electronics,300,25,Key_219
220,Keyboard,19LM,Accessories,100,30,Key_220
221,Laptop,,Electronics,1200,10,Key_221
222,Smartphone,21NO,Electronics,800,15,Key_222
223,Tablet,22OP,Electronics,600,20,Key_223
224,Monitor,23PQ,Electronics,300,25,Key_224
225,Keyboard,24QR,Accessories,100,30,Key_225
226,Laptop,25RS,Electronics,1200,10,Key_226
227,Smartphone,26ST,Electronics,800,15,Key_227
228,Tablet,27TU,Electronics,600,20,Key_228
229,Monitor,28UV,Electronics,300,25,Key_229
230,Keyboard,29VW,Accessories,100,30,Key_230
231,Laptop,230W1,Electronics,1200,10,Key_231
232,Smartphone,31XY,Electronics,800,15,Key_232
233,Tablet,32YZ,Electronics,600,20,Key_233
234,Monitor,33ZA,Electronics,300,25,Key_234
235,Keyboard,34AB,Accessories,100,30,Key_235
236,Laptop,35BC,Electronics,1200,10,Key_236
237,Smartphone,36CD,Electronics,800,15,Key_237
238,Tablet,37DE,Electronics,600,20,Key_238
239,Monitor,38EF,Electronics,300,25,Key_239
240,Keyboard,39FG,Accessories,100,30,Key_240
241,Laptop,WPJY,Electronics,1200,10,Key_241
242,Smartphone,41HI,Electronics,800,15,Key_242
243,Tablet,42IJ,Electronics,600,20,Key_243
244,Monitor,43JK,Electronics,300,25,Key_244
245,Keyboard,44KL,Accessories,100,30,Key_245
246,Laptop,45LM,Electronics,1200,10,Key_246
247,Smartphone,46MN,Electronics,800,15,Key_247
248,Tablet,47NO,Electronics,600,20,Key_248
249,Monitor,48OP,Electronics,300,25,Key_249
250,Keyboard,49PQ,Accessories,100,30,Key_250
251,Laptop,6073,Electronics,1200,10,Key_251
252,Smartphone,51RS,Electronics,800,15,Key_252
253,Tablet,52ST,Electronics,600,20,Key_253
254,Monitor,53TU,Electronics,300,25,Key_254
255,Keyboard,54UV,Accessories,100,30,Key_255
256,Laptop,55VW,Electronics,1200,10,Key_256
257,Smartphone,56WX,Electronics,800,15,Key_257
258,Tablet,57XY,Electronics,600,20,Key_258
259,Monitor,58YZ,Electronics,300,25,Key_259
260,Keyboard,59ZA,Accessories,100,30,Key_260
261,Laptop,,Electronics,1200,10,Key_261
262,Smartphone,61BC,Electronics,800,15,Key_262
263,Tablet,62CD,Electronics,600,20,Key_263
264,Monitor,63DE,Electronics,300,25,Key_264
265,Keyboard,64EF,Accessories,100,30,Key_265
266,Laptop,65FG,Electronics,1200,10,Key_266
267,Smartphone,66GH,Electronics,800,15,Key_267
268,Tablet,67HI,Electronics,600,20,Key_268
269,Monitor,68IJ,Electronics,300,25,Key_269
270,Keyboard,69JK,Accessories,100,30,Key_270
271,Laptop,270K1,Electronics,1200,10,Key_271
272,Smartphone,71LM,Electronics,800,15,Key_272
273,Tablet,72MN,Electronics,600,20,Key_273
274,Monitor,73NO,Electronics,300,25,Key_274
275,Keyboard,74OP,Accessories,100,30,Key_275
276,Laptop,75PQ,Electronics,1200,10,Key_276
277,Smartphone,76QR,Electronics,800,15,Key_277
278,Tablet,77RS,Electronics,600,20,Key_278
279,Monitor,78ST,Electronics,300,25,Key_279
280,Keyboard,79TU,Accessories,100,30,Key_280
281,Laptop,CPMW,Electronics,1200,10,Key_281
282,Smartphone,81VW,Electronics,800,15,Key_282
283,Tablet,82WX,Electronics,600,20,Key_283
284,Monitor,83XY,Electronics,300,25,Key_284
285,Keyboard,84YZ,Accessories,100,30,Key_285
286,Laptop,85ZA,Electronics,1200,10,Key_286
287,Smartphone,86AB,Electronics,800,15,Key_287
288,Tablet,87BC,Electronics,600,20,Key_288
289,Monitor,88CD,Electronics,300,25,Key_289
290,Keyboard,89DE,Accessories,100,30,Key_290
291,Laptop,2754,Electronics,1200,10,Key_291
292,Smartphone,91FG,Electronics,800,15,Key_292
293,Tablet,92GH,Electronics,600,20,Key_293
294,Monitor,93HI,Electronics,300,25,Key_294
295,Keyboard,94IJ,Accessories,100,30,Key_295
296,Laptop,95JK,Electronics,1200,10,Key_296
297,Smartphone,96KL,Electronics,800,15,Key_297
298,Tablet,97LM,Electronics,600,20,Key_298
299,Monitor,98MN,Electronics,300,25,Key_299
300,Keyboard,99NO,Accessories,100,30,Key_300
301,Laptop,,Electronics,1200,10,Key_301
302,Smartphone,01PQ,Electronics,800,15,Key_302
303,Tablet,02QR,Electronics,600,20,Key_303
304,Monitor,03RS,Electronics,300,25,Key_304
305,Keyboard,04ST,Accessories,100,30,Key_305
306,Laptop,05TU,Electronics,1200,10,Key_306
307,Smartphone,06UV,Electronics,800,15,Key_307
308,Tablet,07VW,Electronics,600,20,Key_308
309,Monitor,08WX,Electronics,300,25,Key_309
310,Keyboard,09XY,Accessories,100,30,Key_310
311,Laptop,310Y1,Electronics,1200,10,Key_311
312,Smartphone,11ZA,Electronics,800,15,Key_312
313,Tablet,12AB,Electronics,600,20,Key_313
314,Monitor,13BC,Electronics,300,25,Key_314
315,Keyboard,14CD,Accessories,100,30,Key_315
316,Laptop,15DE,Electronics,1200,10,Key_316
317,Smartphone,16EF,Electronics,800,15,Key_317
318,Tablet,17FG,Electronics,600,20,Key_318
319,Monitor,18GH,Electronics,300,25,Key_319
320,Keyboard,19HI,Accessories,100,30,Key_320
321,Laptop,THXL,Electronics,1200,10,Key_321
322,Smartphone,21JK,Electronics,800,15,Key_322
323,Tablet,22KL,Electronics,600,20,Key_323
324,Monitor,23LM,Electronics,300,25,Key_324
325,Keyboard,24MN,Accessories,100,30,Key_325
326,Laptop,25NO,Electronics,1200,10,Key_326
327,Smartphone,26OP,Electronics,800,15,Key_327
328,Tablet,27PQ,Electronics,600,20,Key_328
329,Monitor,28QR,Electronics,300,25,Key_329
330,Keyboard,29RS,Accessories,100,30,Key_330
331,Laptop,0843,Electronics,1200,10,Key_331
332,Smartphone,31TU,Electronics,800,15,Key_332
333,Tablet,32UV,Electronics,600,20,Key_333
334,Monitor,33VW,Electronics,300,25,Key_334
335,Keyboard,34WX,Accessories,100,30,Key_335
336,Laptop,35XY,Electronics,1200,10,Key_336
337,Smartphone,36YZ,Electronics,800,15,Key_337
338,Tablet,37ZA,Electronics,600,20,Key_338
339,Monitor,38AB,Electronics,300,25,Key_339
340,Keyboard,39BC,Accessories,100,30,Key_340
341,Laptop,,Electronics,1200,10,Key_341
342,Smartphone,41DE,Electronics,800,15,Key_342
343,Tablet,42EF,Electronics,600,20,Key_343
344,Monitor,43FG,Electronics,300,25,Key_344
345,Keyboard,44GH,Accessories,100,30,Key_345
346,Laptop,45HI,Electronics,1200,10,Key_346
347,Smartphone,46IJ,Electronics,800,15,Key_347
348,Tablet,47JK,Electronics,600,20,Key_348
349,Monitor,48KL,Electronics,300,25,Key_349
350,Keyboard,49LM,Accessories,100,30,Key_350
351,Laptop,350M1,Electronics,1200,10,Key_351
352,Smartphone,51NO,Electronics,800,15,Key_352
353,Tablet,52OP,Electronics,600,20,Key_353
354,Monitor,53PQ,Electronics,300,25,Key_354
355,Keyboard,54QR,Accessories,100,30,Key_355
356,Laptop,55RS,Electronics,1200,10,Key_356
357,Smartphone,56ST,Electronics,800,15,Key_357
358,Tablet,57TU,Electronics,600,20,Key_358
359,Monitor,58UV,Electronics,300,25,Key_359
360,Keyboard,59VW,Accessories,100,30,Key_360
361,Laptop,FVRH,Electronics,1200,10,Key_361
362,Smartphone,61XY,Electronics,800,15,Key_362
363,Tablet,62YZ,Electronics,600,20,Key_363
364,Monitor,63ZA,Electronics,300,25,Key_364
365,Keyboard,64AB,Accessories,100,30,Key_365
366,Laptop,65BC,Electronics,1200,10,Key_366
367,Smartphone,66CD,Electronics,800,15,Key_367
368,Tablet,67DE,Electronics,600,20,Key_368
369,Monitor,68EF,Electronics,300,25,Key_369
370,Keyboard,69FG,Accessories,100,30,Key_370
371,Laptop,6045,Electronics,1200,10,Key_371
372,Smartphone,71HI,Electronics,800,15,Key_372
373,Tablet,72IJ,Electronics,600,20,Key_373
374,Monitor,73JK,Electronics,300,25,Key_374
375,Keyboard,74KL,Accessories,100,30,Key_375
376,Laptop,75LM,Electronics,1200,10,Key_376
377,Smartphone,76MN,Electronics,800,15,Key_377
378,Tablet,77NO,Electronics,600,20,Key_378
379,Monitor,78OP,Electronics,300,25,Key_379
380,Keyboard,79PQ,Accessories,100,30,Key_380
381,Laptop,,Electronics,1200,10,Key_381
382,Smartphone,81RS,Electronics,800,15,Key_382
383,Tablet,82ST,Electronics,600,20,Key_383
384,Monitor,83TU,Electronics,300,25,Key_384
385,Keyboard,84UV,Accessories,100,30,Key_385
386,Laptop,85VW,Electronics,1200,10,Key_386
387,Smartphone,86WX,Electronics,800,15,Key_387
388,Tablet,87XY,Electronics,600,20,Key_388
389,Monitor,88YZ,Electronics,300,25,Key_389
390,Keyboard,89ZA,Accessories,100,30,Key_390
391,Laptop,390A1,Electronics,1200,10,Key_391
392,Smartphone,91BC,Electronics,800,15,Key_392
393,Tablet,92CD,Electronics,600,20,Key_393
394,Monitor,93DE,Electronics,300,25,Key_394
395,Keyboard,94EF,Accessories,100,30,Key_395
396,Laptop,95FG,Electronics,1200,10,Key_396
397,Smartphone,96GH,Electronics,800,15,Key_397
398,Tablet,97HI,Electronics,600,20,Key_398
399,Monitor,98IJ,Electronics,300,25,Key_399
400,Keyboard,99JK,Accessories,100,30,Key_400
401,Laptop,TBND,Electronics,1200,10,Key_401
402,Smartphone,01LM,Electronics,800,15,Key_402
403,Tablet,02MN,Electronics,600,20,Key_403
404,Monitor,03NO,Electronics,300,25,Key_404
405,Keyboard,04OP,Accessories,100,30,Key_405
406,Laptop,05PQ,Electronics,1200,10,Key_406
407,Smartphone,06QR,Electronics,800,15,Key_407
408,Tablet,07RS,Electronics,600,20,Key_408
409,Monitor,08ST,Electronics,300,25,Key_409
410,Keyboard,09TU,Accessories,100,30,Key_410
411,Laptop,0611,Electronics,1200,10,Key_411
412,Smartphone,11VW,Electronics,800,15,Key_412
413,Tablet,12WX,Electronics,600,20,Key_413
414,Monitor,13XY,Electronics,300,25,Key_414
415,Keyboard,14YZ,Accessories,100,30,Key_415
416,Laptop,15ZA,Electronics,1200,10,Key_416
417,Smartphone,16AB,Electronics,800,15,Key_417
418,Tablet,17BC,Electronics,600,20,Key_418
419,Monitor,18CD,Electronics,300,25,Key_419
420,Keyboard,19DE,Accessories,100,30,Key_420
421,Laptop,,Electronics,1200,10,Key_421
422,Smartphone,21FG,Electronics,800,15,Key_422
423,Tablet,22GH,Electronics,600,20,Key_423
424,Monitor,23HI,Electronics,300,25,Key_424
425,Keyboard,24IJ,Accessories,100,30,Key_425
426,Laptop,25JK,Electronics,1200,10,Key_426
427,Smartphone,26KL,Electronics,800,15,Key_427
428,Tablet,27LM,Electronics,600,20,Key_428
429,Monitor,28MN,Electronics,300,25,Key_429
430,Keyboard,29NO,Accessories,100,30,Key_430
431,Laptop,430O1,Electronics,1200,10,Key_431
432,Smartphone,31PQ,Electronics,800,15,Key_432
433,Tablet,32QR,Electronics,600,20,Key_433
434,Monitor,33RS,Electronics,300,25,Key_434
435,Keyboard,34ST,Accessories,100,30,Key_435
436,Laptop,35TU,Electronics,1200,10,Key_436
437,Smartphone,36UV,Electronics,800,15,Key_437
438,Tablet,37VW,Electronics,600,20,Key_438
439,Monitor,38WX,Electronics,300,25,Key_439
440,Keyboard,39XY,Accessories,100,30,Key_440
441,Laptop,IUBY,Electronics,1200,10,Key_441
442,Smartphone,41ZA,Electronics,800,15,Key_442
443,Tablet,42AB,Electronics,600,20,Key_443
444,Monitor,43BC,Electronics,300,25,Key_444
445,Keyboard,44CD,Accessories,100,30,Key_445
446,Laptop,45DE,Electronics,1200,10,Key_446
447,Smartphone,46EF,Electronics,800,15,Key_447
448,Tablet,47FG,Electronics,600,20,Key_448
449,Monitor,48GH,Electronics,300,25,Key_449
450,Keyboard,49HI,Accessories,100,30,Key_450
451,Laptop,8023,Electronics,1200,10,Key_451
452,Smartphone,51JK,Electronics,800,15,Key_452
453,Tablet,52KL,Electronics,600,20,Key_453
454,Monitor,53LM,Electronics,300,25,Key_454
455,Keyboard,54MN,Accessories,100,30,Key_455
456,Laptop,55NO,Electronics,1200,10,Key_456
457,Smartphone,56OP,Electronics,800,15,Key_457
458,Tablet,57PQ,Electronics,600,20,Key_458
459,Monitor,58QR,Electronics,300,25,Key_459
460,Keyboard,59RS,Accessories,100,30,Key_460
461,Laptop,,Electronics,1200,10,Key_461
462,Smartphone,61TU,Electronics,800,15,Key_462
463,Tablet,62UV,Electronics,600,20,Key_463
464,Monitor,63VW,Electronics,300,25,Key_464
465,Keyboard,64WX,Accessories,100,30,Key_465
466,Laptop,65XY,Electronics,1200,10,Key_466
467,Smartphone,66YZ,Electronics,800,15,Key_467
468,Tablet,67ZA,Electronics,600,20,Key_468
469,Monitor,68AB,Electronics,300,25,Key_469
470,Keyboard,69BC,Accessories,100,30,Key_470
471,Laptop,470C1,Electronics,1200,10,Key_471
472,Smartphone,71DE,Electronics,800,15,Key_472
473,Tablet,72EF,Electronics,600,20,Key_473
474,Monitor,73FG,Electronics,300,25,Key_474
475,Keyboard,74GH,Accessories,100,30,Key_475
476,Laptop,75HI,Electronics,1200,10,Key_476
477,Smartphone,76IJ,Electronics,800,15,Key_477
478,Tablet,77JK,Electronics,600,20,Key_478
479,Monitor,78KL,Electronics,300,25,Key_479
480,Keyboard,79LM,Accessories,100,30,Key_480
481,Laptop,WZDR,Electronics,1200,10,Key_481
482,Smartphone,81NO,Electronics,800,15,Key_482
483,Tablet,82OP,Electronics,600,20,Key_483
484,Monitor,83PQ,Electronics,300,25,Key_484
485,Keyboard,84QR,Accessories,100,30,Key_485
486,Laptop,85RS,Electronics,1200,10,Key_486
487,Smartphone,86ST,Electronics,800,15,Key_487
488,Tablet,87TU,Electronics,600,20,Key_488
489,Monitor,88UV,Electronics,300,25,Key_489
490,Keyboard,89VW,Accessories,100,30,Key_490
491,Laptop,6525,Electronics,1200,10,Key_491
492,Smartphone,91XY,Electronics,800,15,Key_492
493,Tablet,92YZ,Electronics,600,20,Key_493
494,Monitor,93ZA,Electronics,300,25,Key_494
495,Keyboard,94AB,Accessories,100,30,Key_495
496,Laptop,95BC,Electronics,1200,10,Key_496
497,Smartphone,96CD,Electronics,800,15,Key_497
498,Tablet,97DE,Electronics,600,20,Key_498
499,Monitor,98EF,Electronics,300,25,Key_499
500,Keyboard,99FG,Accessories,100,30,Key_500
501,Laptop,,Electronics,1200,10,Key_501
502,Smartphone,01HI,Electronics,800,15,Key_502
503,Tablet,02IJ,Electronics,600,20,Key_503
504,Monitor,03JK,Electronics,300,25,Key_504
505,Keyboard,04KL,Accessories,100,30,Key_505
506,Laptop,05LM,Electronics,1200,10,Key_506
507,Smartphone,06MN,Electronics,800,15,Key_507
508,Tablet,07NO,Electronics,600,20,Key_508
509,Monitor,08OP,Electronics,300,25,Key_509
510,Keyboard,09PQ,Accessories,100,30,Key_510
511,Laptop,510Q1,Electronics,1200,10,Key_511
512,Smartphone,11RS,Electronics,800,15,Key_512
513,Tablet,12ST,Electronics,600,20,Key_513
514,Monitor,13TU,Electronics,300,25,Key_514
515,Keyboard,14UV,Accessories,100,30,Key_515
516,Laptop,15VW,Electronics,1200,10,Key_516
517,Smartphone,16WX,Electronics,800,15,Key_517
518,Tablet,17XY,Electronics,600,20,Key_518
519,Monitor,18YZ,Electronics,300,25,Key_519
520,Keyboard,19ZA,Accessories,100,30,Key_520
521,Laptop,KOVE,Electronics,1200,10,Key_521
522,Smartphone,21BC,Electronics,800,15,Key_522
523,Tablet,22CD,Electronics,600,20,Key_523
524,Monitor,23DE,Electronics,300,25,Key_524
525,Keyboard,24EF,Accessories,100,30,Key_525
526,Laptop,25FG,Electronics,1200,10,Key_526
527,Smartphone,26GH,Electronics,800,15,Key_527
528,Tablet,27HI,Electronics,600,20,Key_528
529,Monitor,28IJ,Electronics,300,25,Key_529
530,Keyboard,29JK,Accessories,100,30,Key_530
531,Laptop,3909,Electronics,1200,10,Key_531
532,Smartphone,31LM,Electronics,800,15,Key_532
533,Tablet,32MN,Electronics,600,20,Key_533
534,Monitor,33NO,Electronics,300,25,Key_534
535,Keyboard,34OP,Accessories,100,30,Key_535
536,Laptop,35PQ,Electronics,1200,10,Key_536
537,Smartphone,36QR,Electronics,800,15,Key_537
538,Tablet,37RS,Electronics,600,20,Key_538
539,Monitor,38ST,Electronics,300,25,Key_539
540,Keyboard,39TU,Accessories,100,30,Key_540
541,Laptop,,Electronics,1200,10,Key_541
542,Smartphone,41VW,Electronics,800,15,Key_542
